CCTV-1高清,igmp://225.1.4.73:1102
CCTV-2高清,igmp://225.1.4.74:1103
CCTV-3高清,igmp://225.1.4.158:1194
CCTV-4高清,igmp://225.1.5.30:1333
CCTV-5高清,igmp://225.1.4.159:1195
CCTV-6高清,igmp://225.1.4.160:1196
CCTV-7高清,igmp://225.1.4.76:1105
CCTV-8高清,igmp://225.1.4.161:1197
CCTV-9高清,igmp://225.1.4.77:1106
CCTV-10高清,igmp://225.1.4.78:1107
CCTV-11高清,igmp://225.1.4.215:1268
CCTV-12高清,igmp://225.1.4.79:1108
CCTV-13高清,igmp://225.1.4.113:1293
CCTV-14高清,igmp://225.1.4.80:1109
CCTV-15高清,igmp://225.1.4.216:1269
CGTN,igmp://225.1.4.16:1045
CCTV-17高清,igmp://225.1.4.226:2506
CCTV-5+高清,igmp://225.1.4.75:1104
河南移动电视,igmp://225.1.5.40:1350
环球购物,igmp://225.1.4.229:1275
家有购物,igmp://225.1.4.223:1273
央广购物,igmp://225.1.4.230:1276
快乐购,igmp://225.1.4.231:1277
好享购物,igmp://225.1.4.232:1278
风尚购物,igmp://225.1.4.233:1279
河南卫视高清,igmp://225.1.4.98:1127
河南都市频道高清,igmp://225.1.4.52:1081
河南民生频道,igmp://225.1.4.53:1082
河南法治频道,igmp://225.1.4.54:1083
河南电视剧频道高清,igmp://225.1.4.55:1084
河南新闻频道,igmp://225.1.4.56:1085
河南欢腾购物,igmp://225.1.4.57:1086
河南公共频道高清,igmp://225.1.4.58:1087
河南乡村频道,igmp://225.1.4.120:1149
河南国际频道,igmp://225.1.4.102:1131
河南文物宝库,igmp://225.1.4.100:1129
河南梨园频道,igmp://225.1.4.99:1128
河南武术世界,igmp://225.1.4.101:1130
郑州时政高清,igmp://225.1.4.140:1176
郑州商都高清,igmp://225.1.4.141:1177
郑州文体高清,igmp://225.1.4.142:1178
郑州影视戏曲,igmp://225.1.4.146:1182
郑州妇女儿童,igmp://225.1.4.147:1183
郑州都市生活,igmp://225.1.4.149:1185
郑州教育电视台,igmp://225.1.4.191:1241
新密综合,igmp://225.1.4.239:1285
登封综合,igmp://225.1.4.240:1286
中牟综合,igmp://225.1.4.244:1290
焦作综合频道,igmp://225.1.4.128:1164
焦作公共频道,igmp://225.1.4.129:1165
国学频道,igmp://225.1.4.196:1311
欢腾购物,igmp://225.1.4.236:1282
湖南卫视高清,igmp://225.1.4.82:1111
江苏卫视高清,igmp://225.1.4.83:1112
浙江卫视高清,igmp://225.1.4.84:1113
北京卫视高清,igmp://225.1.4.81:1110
东方卫视高清,igmp://225.1.4.85:1114
天津卫视高清,igmp://225.1.4.86:1115
山东卫视高清,igmp://225.1.4.88:1117
安徽卫视高清,igmp://225.1.4.87:1116
深圳卫视高清,igmp://225.1.4.90:1119
江西卫视高清,igmp://225.1.4.139:1305
湖北卫视高清,igmp://225.1.4.89:1118
四川卫视高清,igmp://225.1.4.151:1306
黑龙江卫视高清,igmp://225.1.4.91:1120
云南卫视高清,igmp://225.1.4.152:1307
贵州卫视高清,igmp://225.1.4.122:1302
东南卫视高清,igmp://225.1.4.228:1274
重庆卫视高清,igmp://225.1.4.157:1308
广东卫视高清,igmp://225.1.4.166:1207
广西卫视,igmp://225.1.4.31:1060
河北卫视高清,igmp://225.1.4.123:1304
海南卫视,igmp://225.1.4.25:1054
吉林卫视高清,igmp://225.1.4.174:1309
山西卫视,igmp://225.1.4.38:1067
陕西卫视,igmp://225.1.4.39:1068
甘肃卫视,igmp://225.1.4.42:1071
宁夏卫视,igmp://225.1.4.43:1072
青海卫视,igmp://225.1.4.44:1073
内蒙古卫视,igmp://225.1.4.45:1074
西藏卫视,igmp://225.1.4.46:1075
新疆卫视,igmp://225.1.4.47:1076
卡酷动画,igmp://225.1.4.48:1077
金鹰卡通,igmp://225.1.4.49:1078
嘉佳卡通,igmp://225.1.4.92:1121
中国教育-1高清,igmp://225.1.4.173:1712
中国教育-4,igmp://225.1.4.171:1710
厦门卫视,igmp://225.1.4.95:1124
金鹰纪实高清,igmp://225.1.4.172:1711
兵团卫视,igmp://225.1.4.97:1126
中国教育-2,igmp://225.1.4.165:1206
爱上-4k,igmp://225.1.4.162:1204
